id,opened,discussion,pullrequest,merged,closed,firstInsiderResponse,totalResponseByContributor,totalResponseByCollaborator,totalResponseByMembers,totalResponseByAuthor,totalResponseByOthers
49650,2023-03-30T17:20:32Z,2023-03-30T23:12:35Z,2023-03-30T17:20:32Z,,2023-04-06T22:37:21Z,2023-03-30T23:12:35Z,3,0,0,0,0
49651,2023-03-30T17:46:04Z,2023-03-30T17:47:46Z,2023-03-30T17:46:04Z,,2023-03-30T18:06:53Z,2023-03-30T17:47:46Z,1,0,1,1,0
49652,2023-03-30T20:38:01Z,2023-03-30T23:12:09Z,2023-03-30T20:38:01Z,,2023-03-30T23:12:12Z,2023-03-30T23:12:09Z,1,0,0,0,0
49654,2023-03-30T21:41:20Z,2023-03-30T21:41:24Z,2023-03-30T21:41:20Z,,2023-03-30T22:01:55Z,2023-03-30T22:01:55Z,1,0,0,1,1
49655,2023-03-30T22:07:16Z,2023-04-04T02:13:19Z,2023-03-30T22:07:16Z,,2023-04-04T02:13:23Z,2023-04-04T02:13:19Z,1,0,0,0,0
49656,2023-03-31T02:29:38Z,2023-03-31T14:33:45Z,2023-03-31T02:29:38Z,,2023-03-31T18:49:19Z,2023-03-31T14:34:22Z,2,0,0,0,1
49657,2023-03-31T09:11:08Z,2023-03-31T12:17:47Z,,,,2023-03-31T12:17:47Z,4,0,0,0,0
49658,2023-03-31T11:49:31Z,2023-04-05T15:08:22Z,,,,2023-04-05T15:08:22Z,1,0,2,1,0
49659,2023-03-31T11:53:30Z,2023-03-31T12:57:26Z,2023-03-31T11:53:30Z,,2023-04-04T22:01:21Z,2023-03-31T12:57:26Z,2,0,0,0,0
49660,2023-03-31T16:23:39Z,2023-03-31T18:22:21Z,2023-03-31T16:23:39Z,,,2023-03-31T18:22:21Z,4,0,0,1,0
49661,2023-03-31T18:11:06Z,2023-03-31T18:11:10Z,2023-03-31T18:11:06Z,,,2023-03-31T18:33:43Z,1,0,0,0,1
49662,2023-03-31T19:07:10Z,2023-04-03T19:04:46Z,2023-03-31T19:07:10Z,,2023-04-04T02:12:50Z,2023-04-03T19:04:46Z,2,0,0,0,0
49663,2023-03-31T19:07:34Z,2023-04-04T02:12:16Z,2023-03-31T19:07:34Z,,2023-04-04T02:12:19Z,2023-04-04T02:12:16Z,1,0,0,0,0
