name,commits,additions,deletions
PatrickJS,73,2552,1723
JeanMeche,101,5360,7561
ahasall,22,168,194
twerske,31,1949,680
cexbrayat,109,8023,8773
ajitsinghkaler,74,1825,656
renovate[bot],105,7389,7401
jteplitz,40,16764,7604
sjtrimble,113,9570,6521
StephenFluin,35,1100,372
robwormald,75,12811,2230
chuckjaz,336,68360,40542
IgorMinar,964,580730,536957
swseverance,20,107,171
brandonroberts,152,26537,28212
btford,152,55245,24465
jenniferfell,33,3100,3533
kyliau,293,28669,29414
alfaproject,24,11685,8585
tbosch,788,285203,245331
marclaval,310,37792,16413
Foxandxss,85,53701,39537
JoostK,411,75042,36230
gkalpak,1923,195197,132975
naomiblack,42,1516,974
alan-agius4,534,51753,308316
tinayuangao,29,902,747
angular-robot,173,29389,37109
gregmagolan,295,70536,52281
jasonaden,191,203384,202298
trotyl,46,653,253
jeffbcross,118,70577,65778
trekladyone,61,2792,1159
filipesilva,137,93227,51338
josmar-crwdstffng,48,24157,28295
vicb,916,160889,182997
caitp,37,2721,1210
AleksanderBodurri,260,100009,99978
santoshyadavdev,34,411,207
jessicajaniuk,112,140358,12649
rkirov,123,18666,12708
ocombe,192,115813,69415
jbogarthyde,192,20263,13756
dylhunn,139,16121,11746
sreevani-ship-it,32,5609,3454
alxhub,878,288389,172534
0x-r4bbit,17,258,160
hansl,33,2254,1557
petebacondarwin,1771,585523,342036
jakemac53,24,2746,1659
iRealNirmal,20,1765,613
bob-watson,53,146201,29721
dalejodc,19,60,62
yjbanov,145,33972,26152
zarend,29,3291,1430
bjarkler,43,22930,11164
vsavkin,952,165431,117393
sonukapoor,106,9013,1726
josephperrott,672,1010677,1018282
mgechev,326,53533,31919
devversion,972,335142,492641
wardbell,149,54169,41948
wKoza,31,619,254
vojtajina,21,948,369
danielsogl,17,107,110
kara,535,255539,243822
pkozlowski-opensource,622,45209,33866
clydin,42,2038,1587
lacolaco,22,129,37
kevmoo,43,860,947
JiaLiPassion,177,68662,16280
benlesh,113,58619,41737
vikerman,79,5299,3423
CaerusKaru,28,7949,11823
juliemr,79,15825,14859
renovate-bot,537,67156,62136
jelbourn,72,16257,8305
dgp1130,52,2478,1684
matsko,480,164058,89812
AndrewKushnir,650,106829,68392
kapunahelewong,176,40731,27096
kwalrath,17,407,347
TeriGlover,39,1498,1453
kormide,94,12029,6467
mhevery,753,180163,171427
sumitarora,94,20665,18039
ivanwonder,42,4432,332
atscott,643,73983,59988
crisbeto,483,134351,78466
ayazhafiz,93,9000,2740
arturovt,30,892,265
dario-piotrowicz,167,12825,7464
ttowncompiled,20,6900,7027
bampakoa,56,353,250
mprobst,123,7565,9948
AlexElin,22,343,443
danieltre23,29,2613,1374
andrewseguin,28,7636,6129
wagnermaciel,34,5276,7080
alexeagle,562,403416,261949
