name,commits,additions,deletions
threepointone,16,1461,797
kohei-takata,39,2972,26
jddxf,9,330,111
joecritch,9,124,62
mcsheffrey,21,1722,1924
mofeiZ,8,1818,743
eps1lon,73,12082,6029
ivanzotov,11,228,22
chicoxyzzy,29,1336,1092
RReverser,9,504,531
kassens,95,44644,77029
jquense,18,1891,581
behnammodi,8,205,146
iamchenxin,13,4468,872
marocchino,45,2432,451
Andarist,10,246,118
chenglou,126,3787,4069
fisherwebdev,10,2505,84
rickbeerendonk,9,623,576
JoshuaGross,9,757,87
NE-SmallTown,22,41,61
hzoo,8,358,337
salazarm,24,4116,1880
DenrizSusam,7,10,10
camsong,8,997,29
sun1one,8,278,47
ymqy,10,4475,5362
waldreiter,14,65,60
ianobermiller,7,206,72
flarnie,67,4478,1971
gnoff,65,52661,27591
andreypopp,9,166,9
subtleGradient,110,17980,16000
cpojer,56,4104,2888
mroch,12,1278,380
kmeht,10,1416,747
Biki-das,10,259,20
lucasecdb,10,176,78
vjeux,140,8032,4365
tomocchino,13,23628,21356
dependabot[bot],48,528,800
yungsters,93,5491,3656
jimfb,116,25587,12072
rickhanlonii,96,19464,13012
fxxkscript,9,256,18
nhunzaker,94,37472,10910
gaearon,1576,517574,407517
taneliang,9,14516,3335
necolas,92,19541,14630
raunofreiberg,9,396,31
jaredly,9,166,20
syranide,69,2390,1257
bhamodi,8,120,166
zertosh,8,164,158
rubennorte,16,1366,1699
benjamn,68,2363,1813
yiminghe,9,217,65
mondaychen,45,2297,1441
elas7,13,250,1128
clemmy,9,4405,2510
lunaruan,118,21971,8780
sompylasar,15,1566,874
arkist,14,2826,641
KonstHardy,7,13,13
tyao1,22,3264,2451
josephsavona,14,3057,349
koba04,67,2514,1727
fabiomcosta,15,167,66
petehunt,205,86685,30811
philipp-spiess,18,4875,3075
zpao,822,87402,131911
jeffmo,111,11605,8184
poteto,25,3005,1331
sebmarkbage,962,350781,289062
Daniel15,18,1147,33117
joshduck,21,1247,355
iamdustan,17,7928,6408
bl00mber,14,817,206
sophiebits,881,118280,46003
rbalicki2,8,258,184
hristo-kanchev,9,1074,250
SimenB,19,5014,4845
DarkScorpion,10,116,81
TheSavior,30,2939,2290
motiz88,10,1039,311
Simek,15,287,743
jgebhardt,8,606,5
raphamorim,15,3927,3749
yangshun,10,272,108
acdlite,1209,331913,245297
aickin,18,4299,1136
keyz,26,9087,3774
trueadm,429,124405,113449
SanderSpies,8,546,302
onionymous,8,82,63
bgw,14,2191,1924
bvaughn,301,94960,108858
wincent,9,106,46
aweary,61,4581,2148
sammy-SC,28,2905,1513
