id,opened,discussion,pullrequest,merged,closed,firstInsiderResponse,totalResponseByContributor,totalResponseByCollaborator,totalResponseByMembers,totalResponseByAuthor,totalResponseByOthers
26481,2023-03-25T15:14:46Z,,,,2023-03-26T18:48:50Z,,0,0,0,0,0
26482,2023-03-26T11:40:42Z,2023-03-26T12:17:02Z,2023-03-26T11:40:42Z,,,2023-03-26T14:22:02Z,1,0,0,0,1
26483,2023-03-26T19:43:06Z,,,,,,0,0,0,0,0
26484,2023-03-27T00:22:35Z,2023-03-27T00:22:57Z,,,2023-03-27T09:48:13Z,,0,0,0,1,0
26485,2023-03-27T02:23:00Z,2023-03-27T09:51:36Z,,,,2023-03-27T09:51:36Z,0,1,0,0,2
26486,2023-03-27T03:12:43Z,,,,2023-03-27T03:13:03Z,,0,0,0,0,0
26487,2023-03-27T10:03:47Z,2023-03-27T10:08:50Z,2023-03-27T10:03:47Z,,2023-03-27T11:43:05Z,2023-03-27T11:42:55Z,0,0,1,1,1
26488,2023-03-27T15:30:21Z,2023-03-27T15:34:08Z,2023-03-27T15:30:21Z,,2023-03-27T15:52:03Z,,0,0,0,0,1
26489,2023-03-27T15:34:27Z,2023-03-27T15:38:38Z,2023-03-27T15:34:27Z,,2023-03-31T00:58:13Z,,0,0,0,0,1
26490,2023-03-27T16:49:53Z,2023-03-27T16:54:02Z,2023-03-27T16:49:53Z,,2023-03-28T13:46:27Z,,0,0,0,0,1
26491,2023-03-27T18:44:13Z,2023-03-27T18:48:51Z,2023-03-27T18:44:13Z,,2023-03-27T19:52:26Z,,0,0,0,0,1
26492,2023-03-27T21:49:31Z,2023-03-29T05:12:14Z,2023-03-27T21:49:31Z,,2023-03-28T16:45:54Z,,0,0,0,0,1
26493,2023-03-28T02:03:26Z,2023-03-28T02:09:33Z,2023-03-28T02:03:26Z,,2023-03-28T03:17:56Z,2023-03-28T03:17:48Z,0,1,0,1,1
26494,2023-03-28T03:24:19Z,2023-03-28T03:27:53Z,2023-03-28T03:24:19Z,,2023-03-28T04:03:57Z,,0,0,0,0,1
26495,2023-03-28T05:46:16Z,2023-03-29T01:38:52Z,,,,,0,0,0,0,1
26496,2023-03-28T09:03:36Z,,,,2023-03-28T09:03:56Z,,0,0,0,0,0
26497,2023-03-28T13:49:15Z,2023-03-28T14:05:40Z,2023-03-28T13:49:15Z,,2023-03-28T18:11:53Z,2023-03-28T14:05:40Z,0,1,1,1,0
26498,2023-03-28T17:27:07Z,2023-03-28T17:32:03Z,2023-03-28T17:27:07Z,,2023-03-28T18:40:28Z,,0,0,0,0,1
26499,2023-03-28T18:55:47Z,2023-03-28T19:14:16Z,2023-03-28T18:55:47Z,,2023-03-28T20:31:35Z,,0,0,0,0,1
26500,2023-03-28T19:02:59Z,2023-03-28T20:40:21Z,,,,2023-03-28T20:40:21Z,2,0,0,1,1
26501,2023-03-29T01:08:53Z,2023-03-29T01:14:10Z,2023-03-29T01:08:53Z,,2023-03-29T02:40:03Z,,0,0,0,0,1
26502,2023-03-29T04:59:39Z,2023-04-06T00:05:21Z,2023-03-29T04:59:39Z,,,2023-04-06T00:20:41Z,0,1,0,1,1
26503,2023-03-29T12:11:21Z,2023-03-29T12:11:30Z,2023-03-29T12:11:21Z,,2023-03-29T12:12:00Z,,0,0,0,0,1
